"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"1","1237648703519981824",221.367704392697,-0.658489734236101,22.24621,20.41511,19.35146,18.92974,18.64648,0.168941085830542
"2","1237648703519981824",221.444503995298,-0.645181007380345,22.69029,20.34334,19.27259,18.86095,18.61248,0.16567265211181
"3","1237648720175104512",221.436879645106,-0.939418959246868,22.24696,20.71455,19.6447,19.17754,18.85261,0.143005781821485
"4","1237648720175104256",221.389264315738,-0.864655972815398,23.6204,20.69909,19.5021,18.96737,18.64665,0.140063128804191
"5","1237648703519982336",221.446505836,-0.783643622960894,22.99723,21.10758,19.9844,19.50663,19.18795,0.121345445850357
"6","1237648703520047616",221.516434213262,-0.707240245757,22.9487,21.2969,20.18852,19.70665,19.31027,0.120510439569175
"7","1237648703520047360",221.514935194898,-0.703488542897568,22.12289,19.83986,18.75509,18.31257,18.07463,0.259034180910449
"8","1237648703520047360",221.508687045922,-0.794244499967009,22.86592,19.59075,18.46192,17.96339,17.63381,0.303253607136096
"9","1237648720175104256",221.363914884885,-0.912141734779587,21.98847,19.74326,18.63818,18.20271,17.94712,0.269930211306701
"10","1237648703520047616",221.506754494613,-0.689465930434449,24.2943,21.04012,19.89084,19.42831,19.11889,0.133363902059814
"11","1237648703520047616",221.501315083647,-0.700342860923671,23.03406,21.28556,20.10325,19.63472,19.18298,0.123189430097547
"12","1237648703520047616",221.540037868005,-0.658714450880346,22.99442,20.76504,19.62944,19.14077,18.68292,0.143011137414502
"13","1237648703519981824",221.410747350187,-0.629618042863836,21.86306,19.19794,17.99973,17.49527,17.19504,0.293150600156817
"14","1237648703519981824",221.455330719182,-0.701661731367705,22.65045,20.09588,19.00028,18.58059,18.34267,0.205807427611576
"15","1237648703520047360",221.518887919975,-0.62950556992448,22.78315,20.06008,18.96322,18.49332,18.17862,0.219772864089913
"16","1237648703520112896",221.64971186188,-0.731833957606472,22.58022,20.14569,18.99115,18.47606,18.24393,0.21661763913631
"17","1237648720175170048",221.473725491616,-0.943277338939308,21.88057,20.72758,19.50959,19.05623,18.64161,0.16314616463219
"18","1237648720175170048",221.459094928046,-0.956756953216771,22.73211,20.52275,19.48382,19.06838,18.80895,0.143798481584138
"19","1237648703519981824",221.421215689436,-0.631164662390166,23.85144,20.86439,19.69942,19.24139,18.90744,0.131593846981129
"20","1237648720175170304",221.510166277517,-0.911087589463208,23.37974,21.31145,20.13837,19.6318,19.37064,0.122916794435388
"21","1237648703519982336",221.395949007018,-0.651571076692426,24.81323,21.31151,20.16018,19.64641,19.33363,0.139981935118345
"22","1237648703519981824",221.482822168601,-0.705932410811613,21.82493,19.36886,18.24629,17.78255,17.51214,0.28152774494531
"23","1237648703519982336",221.399798081163,-0.653742670064354,22.31388,21.49783,20.31863,19.75982,19.29413,0.118946449586658
"24","1237648703519981824",221.438226337298,-0.706637503509009,22.67892,20.26237,19.11917,18.65823,18.38347,0.191542266762226
"25","1237648703519981824",221.349423078015,-0.661038580839525,21.09201,18.86309,17.78573,17.37611,17.13159,0.0925497388715874
"26","1237648720175170048",221.475248596809,-0.835651208715493,23.34392,20.99322,19.90274,19.42134,19.17799,0.123188112168796
"27","1237648720175170048",221.591060984119,-0.925536540653101,22.69428,20.99167,19.85736,19.31411,18.98792,0.128583878612047
"28","1237648703519982336",221.382529744811,-0.809962439609063,25.02984,21.18684,20.00562,19.4903,19.26824,0.141030548483498
"29","1237648720175104256",221.381805877382,-0.950901919978684,21.93862,19.95889,18.86074,18.36125,17.93785,0.265557565675271
