"","objID","ra","dec","psfmag_u","psfmag_g","psfmag_r","psfmag_i","psfmag_z","ratings"
"1","1237663783136854784",30.2399742877997,-0.753545791095172,22.75773,22.29248,21.33755,20.82629,20.28878,0.164925905455258
"2","1237657069549650176",30.0513185901401,-0.93352501203546,22.92958,20.7541,19.89781,19.32776,18.66458,0.200095747487508
"3","1237663783136854528",30.0979095126531,-0.759947657736113,22.97858,21.45417,20.61316,20.15874,19.83438,0.1826188782468
"4","1237657069549715712",30.0973417252544,-0.875258195808274,22.58206,20.64197,19.71626,19.22215,18.71788,0.206782342122035
"5","1237657069549650176",30.0551620562833,-0.91566445235024,23.42345,21.54468,20.70603,20.21769,19.5791,0.175484599521559
"6","1237663783136854016",30.123813528753,-0.782937721984787,22.43497,21.07295,20.10598,19.68447,19.23558,0.203556938151605
"7","1237657069549781504",30.245151429822,-0.968316754185628,22.87991,21.516,20.51506,20.10122,19.97413,0.18021829674942
"8","1237657069549650432",30.0000386552936,-0.967000994927616,23.65498,22.26904,21.30432,20.69831,20.37632,0.15908022636952
"9","1237657069549715712",30.13997167413,-0.919854890855215,22.28,20.88517,19.95523,19.44762,18.7257,0.217196183740971
"10","1237657069549650432",30.0293882348753,-0.917127850520945,23.65019,22.77054,21.89507,21.41942,21.20079,0.152882338901284
"11","1237657069549650432",30.0292415497179,-0.907332407825325,23.76203,22.39169,21.50971,21.06111,20.60267,0.15603583607609
"12","1237657069549715968",30.1662566354047,-1.00705907511909,23.11279,21.88058,20.94428,20.48912,19.84072,0.172821309511061
"13","1237663783136854528",30.1369868802812,-0.782976873258548,23.64775,22.20131,21.27775,20.80438,20.42011,0.159191627547533
"14","1237657069549650432",30.0684014250135,-0.916404555016011,24.24872,22.46446,21.52833,20.958,20.44745,0.154139570358899
"15","1237663783136854528",30.0990708372776,-0.838575496758358,22.60653,20.85696,19.97104,19.5418,19.35822,0.199949154280461
"16","1237657069549650432",30.0388014132326,-0.895076034260462,24.4848,22.69086,21.79976,21.32231,20.79867,0.152056154017355
"17","1237663783136920064",30.2762831788563,-0.798850334783649,24.04331,22.00458,21.1034,20.50113,20.19383,0.158934948135844
"18","1237657069549650688",30.0842039141299,-1.00286778198952,23.25485,22.06463,21.11612,20.59007,19.98586,0.167067278688746
"19","1237663783136788736",30.0730456585196,-0.783475374342149,21.71942,19.783,18.82387,18.39565,18.01869,0.235321061341349
"20","1237657069549781504",30.2823867613863,-1.01659437036633,22.71572,22.04792,21.11839,20.55355,19.83955,0.174364756501997
"21","1237657069549650432",29.9874544457328,-0.955879100694011,24.0107,22.36886,21.46004,20.89583,20.63058,0.155247017874209
"22","1237663783136854016",30.1966443547656,-0.82830481168008,21.59541,19.80009,18.80032,18.33859,17.95237,0.232171882247976
"23","1237657069549715712",30.0957374679202,-0.880398458900461,22.3667,20.64584,19.64861,19.15281,18.67181,0.209279122816795
"24","1237657069549716224",30.2211324531594,-1.04861573672875,23.62874,22.48662,21.55175,20.99944,20.06746,0.157856983036106
"25","1237663783136788480",30.054355440147,-0.764296047536278,22.46964,20.65557,19.6761,19.26839,18.99471,0.202747254329244
"26","1237657069549716224",30.2118854406498,-0.93774759092,24.67534,22.63453,21.72395,21.196,20.72431,0.151961924305296
"27","1237657069549715968",30.2366372298678,-0.882923540216759,22.1527,22.16305,21.21719,20.76567,20.37161,0.167520656496961
"28","1237657069549715968",30.1008041332791,-0.973927963903998,23.12965,22.7901,21.85779,21.42019,20.59125,0.155281814555881
"29","1237657069549781504",30.2540262299894,-1.03598942109235,22.83388,22.42218,21.57126,21.05063,20.48379,0.160698998886594
"30","1237657069549715968",30.1271354082248,-0.87041183097421,22.95347,21.83838,20.92307,20.46189,19.91049,0.175032380979486
"31","1237657069549650432",30.0628426114969,-0.992707174822296,23.7517,21.85095,20.98265,20.426,20.00404,0.16396605898034
"32","1237663783136854784",30.2271647338852,-0.803235692475372,24.40128,21.96702,21.07188,20.59312,20.35156,0.15594357707601
"33","1237663782599918336",30.0261431851153,-1.0854858227738,23.33105,22.73728,21.7427,21.24009,20.76518,0.155035542206474
"34","1237657069549650176",30.0618012891689,-1.02761960830236,23.99511,22.77639,21.9327,21.33446,20.90032,0.152664592728477
"35","1237663783136854528",30.163520670479,-0.823484916168119,23.01232,21.88298,21.00344,20.517,20.01073,0.172465329204954
"36","1237663783136854528",30.1625192044039,-0.787732200722477,23.71461,22.70485,21.78275,21.344,20.77723,0.153821166057603
"37","1237657069549650688",30.0823434368506,-0.852194692715747,23.73256,21.98107,21.14348,20.6946,20.07643,0.162010517119795
